Zeit;Kanal A
(ms);(V)

-4,92304765;1,35165500
-4,92294365;1,35165500
-4,92283965;1,35165500
-4,92273565;1,39825300
-4,92263165;1,39825300
-4,92252765;1,39825300
-4,92242365;1,39825300
-4,92231965;1,39825300
-4,92221565;1,39825300
-4,92211165;1,39825300
-4,92200765;1,39825300
-4,92190365;1,39825300
-4,92179965;1,39825300
-4,92169565;1,39825300
-4,92159165;1,39825300
-4,92148765;1,39825300
-4,92138365;1,39825300
-4,92127965;1,35165500
-4,92117565;1,39825300
-4,92107165;1,35165500
-4,92096765;1,39825300
-4,92086365;1,35165500
-4,92075965;1,39825300
-4,92065565;1,39825300
-4,92055165;1,39825300
-4,92044765;1,39825300
-4,92034365;1,39825300
-4,92023965;1,35165500
-4,92013565;1,44485100
-4,92003165;1,35165500
-4,91992765;1,39825300
-4,91982365;1,35165500
-4,91971965;1,39825300
-4,91961565;1,35165500
-4,91951165;1,35165500
-4,91940765;1,39825300
-4,91930365;1,39825300
-4,91919965;1,35165500
-4,91909565;1,35165500
-4,91899165;1,35165500
-4,91888765;1,35165500
-4,91878365;1,39825300
-4,91867965;1,35165500
-4,91857565;1,39825300
-4,91847165;1,39825300
-4,91836765;1,35165500
-4,91826365;1,39825300
-4,91815965;1,35165500
-4,91805565;1,39825300
-4,91795165;1,39825300
-4,91784765;1,39825300
-4,91774365;1,39825300
-4,91763965;1,39825300
-4,91753565;1,35165500
-4,91743165;1,39825300
-4,91732765;1,35165500
-4,91722365;1,39825300
-4,91711965;1,35165500
-4,91701565;1,39825300
-4,91691165;1,35165500
-4,91680765;1,39825300
-4,91670365;1,39825300
-4,91659965;1,39825300
-4,91649565;1,35165500
-4,91639165;1,39825300
-4,91628765;1,39825300
-4,91618365;1,39825300
-4,91607965;1,35165500
-4,91597565;1,39825300
-4,91587165;1,39825300
-4,91576765;1,39825300
-4,91566365;1,35165500
-4,91555965;1,39825300
-4,91545565;1,39825300
-4,91535165;1,35165500
-4,91524765;1,39825300
-4,91514365;1,35165500
-4,91503965;1,35165500
-4,91493565;1,35165500
-4,91483165;1,35165500
-4,91472765;1,39825300
-4,91462365;1,39825300
-4,91451965;1,39825300
-4,91441565;1,35165500
-4,91431165;1,39825300
-4,91420765;1,39825300
-4,91410365;1,39825300
-4,91399965;1,35165500
-4,91389565;1,39825300
-4,91379165;1,35165500
-4,91368765;1,39825300
-4,91358365;1,35165500
-4,91347965;1,39825300
-4,91337565;1,39825300
-4,91327165;1,39825300
-4,91316765;1,39825300
-4,91306365;1,39825300
-4,91295965;1,35165500
-4,91285565;1,39825300
-4,91275165;1,39825300
-4,91264765;1,39825300
-4,91254365;1,35165500
-4,91243965;1,35165500
-4,91233565;1,35165500
-4,91223165;1,39825300
-4,91212765;1,39825300
-4,91202365;1,35165500
-4,91191965;1,35165500
-4,91181565;1,39825300
-4,91171165;1,39825300
-4,91160765;1,39825300
-4,91150365;1,39825300
-4,91139965;1,39825300
-4,91129565;1,35165500
